Culture,Name
African,Abassi
African,Abuk
African,Adu Ogyinae
African,Ag
African,Agwe
African,Aida Wedo
African,Ajalamo
African,Aje
African,Ajok
African,Akonadi
African,Akongo
African,Akuj
African,Amma
African,Anansi
African,Asase Yaa
African,Ashiakle
African,Atai
African,Ayaba
African,Aziri
African,Baatsi
African,Bayanni
African,Bele Alua
African,Bomo rambi
African,Bosumabla
African,Buk
African,Buku
African,Bumba
African,Bunzi
African,Buruku
African,Cagn
African,Candit
African,Cghene
African,Coti
African,Damballah-Wedo
African,Dan
African,Deng
African,Domfe
African,Dongo
African,Edinkira
African,Egungun-oya
African,Eka Abassi
African,Elephant Girl Mbombe
African,Emayian
African,Enekpe
African,En-Kai
African,Eseasar
African,Eshu
African,Esu
African,Fa
African,Faran
African,Faro
African,Fatouma
African,Fidi Mukullu
African,Fon
African,G
African,Gleti
African,Gonzuole
African,Gua
African,Gulu
African,Gunab
African,Hammadi
African,Hbiesso
African,Iku
African,Ilankaka
African,Imana
African,Iruwa
African,Isaywa
African,Juok
African,Kazooba
African,Khakaba
African,Khonvum
African,Kibuka
African,Kintu
African,Leb
African,Leza
African,Libanza
African,Lituolone
African,Loko
African,Marwe
African,Massim Biambe
African,Mawu-Lisa (Leza)
African,Mboze
African,Mebeli
African,Minepa
African,Moombi
African,Mukameiguru
African,Mukasa
African,Muluku
African,Mulungu
African,Mwambu
African,Nai
African,Nambi
African,Nana Buluku
African,Nanan-Bouclou
African,Nenaunir
African,Ng Ai
African,Nyaliep
African,Nyamb
African,Nyankopon
African,Nyasaye
African,Nzame
African,Oboto
African,Obumo
African,Odudua-Orishala
African,Ogun
African,Olokun
African,Olorun
African,Orisha Nla
African,Orunmila
African,Osanyin
African,Oshe
African,Osun
African,Oya
African,Phebele
African,Pokot-Suk
African,Ralubumbha
African,Rugaba
African,Ruhanga
African,Ryangombe
African,Sagbata
African,Shagpona
African,Shango
African,Sopona
African,Tano
African,Thixo
African,Tilo
African,Tokoloshi
African,Tsui
African,Tsui'goab
African,Umvelinqangi
African,Unkulunkulu
African,Utixo
African,Wak
African,Wamara
African,Wantu Su
African,Wele
African,Were
African,Woto
African,Xevioso
African,Yangombi
African,Yemonja
African,Ymoa
African,Ymoja
African,Yoruba
African,Zambi
African,Zanahary
African,Zinkibaru
Australian,Alinga
Australian,Anjea
Australian,Apunga
Australian,Arahuta
Australian,Ariki
Australian,Arohirohi
Australian,Bamapana
Australian,Banaitja
Australian,Bara
Australian,Barraiya
Australian,Biame
Australian,Bila
Australian,Boaliri
Australian,Bobbi-bobbi
Australian,Bunbulama
Australian,Bunjil
Australian,Cunnembeille
Australian,Daramulum
Australian,Dilga
Australian,Djanggawul Sisters
Australian,Eingana
Australian,Erathipa
Australian,Gidja
Australian,Gnowee
Australian,Haumia
Australian,Hine Titama
Australian,Ingridi
Australian,Julana
Australian,Julunggul
Australian,Junkgowa
Australian,Karora
Australian,Kunapipi-Kalwadi-Kadjara
Australian,Lia
Australian,Madalait
Australian,Makara
Australian,Nabudi
Australian,Palpinkalare
Australian,Papa
Australian,Rangi
Australian,Rongo
Australian,Tane
Australian,Tangaroa
Australian,Tawhiri-ma-tea
Australian,Tomituka
Australian,Tu
Australian,Ungamilia
Australian,Walo
Australian,Waramurungundi
Australian,Wati Kutjarra
Australian,Wawalag Sisters
Australian,Wuluwaid
Australian,Wuragag
Australian,Wuriupranili
Australian,Wurrunna
Australian,Yhi
Balto-Slavic,(Russia) Goddess of sleep.
Balto-Slavic,Aba-khatun
Balto-Slavic,Aigiarm
Balto-Slavic,Ajysyt
Balto-Slavic,Alkonost
Balto-Slavic,Almoshi
Balto-Slavic,Altan-Telgey
Balto-Slavic,Ama
Balto-Slavic,Anapel
Balto-Slavic,As-ava
Balto-Slavic,Ausaitis
Balto-Slavic,Austeja
Balto-Slavic,Ayt'ar
Balto-Slavic,Baba Yaga (Jezi Baba)
Balto-Slavic,Belobog (Belun)
Balto-Slavic,Boldogasszony
Balto-Slavic,Breksta
Balto-Slavic,Bugady Musun
Balto-Slavic,Cernobog)
Balto-Slavic,Chernobog (Crnobog
Balto-Slavic,Cinei-new
Balto-Slavic,Colleda (Koliada)
Balto-Slavic,Cuvto-ava
Balto-Slavic,Czarnobog
Balto-Slavic,Czerneboch
Balto-Slavic,Dali
Balto-Slavic,Darzu-mate
Balto-Slavic,Dazhbog
Balto-Slavic,Debena
Balto-Slavic,Devana
Balto-Slavic,Diiwica (Dilwica)
Balto-Slavic,Doda (Dodola)
Balto-Slavic,Dolya
Balto-Slavic,Dragoni
Balto-Slavic,Dugnai
Balto-Slavic,Dunne Enin
Balto-Slavic,Edji
Balto-Slavic,Elena
Balto-Slavic,Erce
Balto-Slavic,Etugen
Balto-Slavic,Falvara
Balto-Slavic,Gabija
Balto-Slavic,Ganiklis
Balto-Slavic,Giltine
Balto-Slavic,Hotogov Mailgan
Balto-Slavic,Hov-ava
Balto-Slavic,Iarila
Balto-Slavic,Isten
Balto-Slavic,Ja-neb'a
Balto-Slavic,Jedza
Balto-Slavic,Joda-mate
Balto-Slavic,Kaldas
Balto-Slavic,Kaltes
Balto-Slavic,Keretkun
Balto-Slavic,Khadau
Balto-Slavic,Khursun (Khors)
Balto-Slavic,Kostrubonko
Balto-Slavic,Kovas
Balto-Slavic,Krumine
Balto-Slavic,Kupala
Balto-Slavic,Kupalo
Balto-Slavic,Laima
Balto-Slavic,Leshy
Balto-Slavic,lgn)
Balto-Slavic,Marina
Balto-Slavic,Marzana
Balto-Slavic,Mat Syra Zemlya
Balto-Slavic,Matergabiae
Balto-Slavic,Medeine
Balto-Slavic,Menu (Menulis)
Balto-Slavic,Mir-Susne-Khum
Balto-Slavic,Myesyats
Balto-Slavic,Nastasija
Balto-Slavic,Nelaima
Balto-Slavic,Norov
Balto-Slavic,Numi-Tarem
Balto-Slavic,Nyia
Balto-Slavic,Ora
Balto-Slavic,Ot
Balto-Slavic,Patollo
Balto-Slavic,Patrimpas
Balto-Slavic,Pereplut
Balto-Slavic,Perkuno
Balto-Slavic,Perun
Balto-Slavic,Pikuolis
Balto-Slavic,Pilnytis
Balto-Slavic,Piluitus
Balto-Slavic,Potrimpo
Balto-Slavic,Puskaitis
Balto-Slavic,Rod
Balto-Slavic,Rugevit
Balto-Slavic,Rultennin
Balto-Slavic,Rusalki
Balto-Slavic,Sakhadai-Noin
Balto-Slavic,Saule
Balto-Slavic,Semargl
Balto-Slavic,Stribog
Balto-Slavic,Sudjaje
Balto-Slavic,Svantovit (Svantevit
Balto-Slavic,Svarazic (Svarozic
Balto-Slavic,Svarogich)
Balto-Slavic,Svitovyd)
Balto-Slavic,Tairgin
Balto-Slavic,Tengri
Balto-Slavic,The Fates
Balto-Slavic,The Fatit
Balto-Slavic,Triglav
Balto-Slavic,Ulgen (Ulgan
Balto-Slavic,Veles (Volos)
Balto-Slavic,Vesna
Balto-Slavic,Xatel-Ekwa
Balto-Slavic,Xoli-Kaltes
Balto-Slavic,Yamm
Balto-Slavic,Yarilo
Balto-Slavic,Yarovit
Balto-Slavic,Ynakhsyt
Balto-Slavic,Zaria
Balto-Slavic,Zeme mate
Balto-Slavic,Zemyna
Balto-Slavic,Ziva (Siva)
Balto-Slavic,Zizilia
Balto-Slavic,Zonget
Balto-Slavic,Zorya
Balto-Slavic,Zvezda Dennitsa
Balto-Slavic,Zvoruna
Balto-Slavic,Zywie
Buddhist,Aizen-Myoo
Buddhist,"Ajima,Dai-itoku-Myoo"
Buddhist,Fudo-Myoo
Buddhist,Gozanze-Myoo
Buddhist,Gundari-Myoo
Buddhist,Hariti
Buddhist,Kongo-Myoo
Buddhist,Kujaku-Myoo
Buddhist,Ni-O
Caribbean,Agaman Nibo
Caribbean,Agwe
Caribbean,Agweta
Caribbean,Ah Uaynih
Caribbean,Aida Wedo
Caribbean,Amelia
Caribbean,Atabei
Caribbean,Ayida
Caribbean,Ayizan
Caribbean,Azacca
Caribbean,Baron Samedi
Caribbean,Chango
Caribbean,Christalline
Caribbean,Clairm
Caribbean,Clairmezin
Caribbean,Coatrischie
Caribbean,Damballah
Caribbean,Ellegua
Caribbean,Emanjah
Caribbean,Erzuli
Caribbean,Erzulie
Caribbean,Ezili
Caribbean,Ghede
Caribbean,Guabancex
Caribbean,Guabonito
Caribbean,Guamaonocon
Caribbean,Imanje
Caribbean,Itaba
Caribbean,Itaba
Caribbean,Karous
Caribbean,Laloue-diji
Caribbean,Legba
Caribbean,Loa
Caribbean,Loco
Caribbean,Maitresse Amelia
Caribbean,Mapiangueh
Caribbean,Marassa
Caribbean,Marie-aime
Caribbean,Marinette
Caribbean,Mombu
Caribbean,Nana Buruku
Caribbean,Oba
Caribbean,Obtala
Caribbean,Ochosi
Caribbean,Ochu
Caribbean,Ochumare
Caribbean,Oddudua
Caribbean,Ogoun
Caribbean,Ogun
Caribbean,Olokum
Caribbean,Olosa
