full_state,FIPS,abbrev,pop,sqmi
Alabama,1,AL,4779736,52419.02
Alaska,2,AK,710231,663267.26
Arizona,4,AZ,6392017,113998.3
Arkansas,5,AR,2915918,53178.62
California,6,CA,37253956,163695.57
Colorado,8,CO,5029196,104093.57
Connecticut,9,CT,3574097,5543.33
Delaware,10,DE,897934,2489.27
District of Columbia,11,DC,601723,68.34
Florida,12,FL,18801310,65754.59
Georgia,13,GA,9687653,59424.77
Hawaii,15,HI,1360301,10930.98
Idaho,16,ID,1567582,83570.08
Illinois,17,IL,12830632,57914.38
Indiana,18,IN,6483802,36417.73
Iowa,19,IA,3046355,56271.55
Kansas,20,KS,2853118,82276.84
Kentucky,21,KY,4339367,40409.02
Louisiana,22,LA,4533372,51839.7
Maine,23,ME,1328361,35384.65
Maryland,24,MD,5773552,12406.68
Massachusetts,25,MA,6547629,10554.57
Michigan,26,MI,9883640,96716.11
Minnesota,27,MN,5303925,86938.87
Mississippi,28,MS,2967297,48430.19
Missouri,29,MO,5988927,69704.31
Montana,30,MT,989415,147042.4
Nebraska,31,NE,1826341,77353.73
Nevada,32,NV,2700551,110560.71
New Hampshire,33,NH,1316470,9349.94
New Jersey,34,NJ,8791894,8721.3
New Mexico,35,NM,2059179,121589.48
New York,36,NY,19378102,54556
North Carolina,37,NC,9535483,53818.51
North Dakota,38,ND,672591,70699.79
Ohio,39,OH,11536504,44824.9
Oklahoma,40,OK,3751351,69898.19
Oregon,41,OR,3831074,98380.64
Pennsylvania,42,PA,12702379,46055.24
Rhode Island,44,RI,1052567,1545.05
South Carolina,45,SC,4625364,32020.2
South Dakota,46,SD,814180,77116.49
Tennessee,47,TN,6346105,42143.27
Texas,48,TX,25145561,268580.82
Utah,49,UT,2763885,84898.83
Vermont,50,VT,625741,9614.26
Virginia,51,VA,8001024,42774.2
Washington,53,WA,6724540,71299.64
West Virginia,54,WV,1852994,24229.76
Wisconsin,55,WI,5686986,65497.82
Wyoming,56,WY,563626,97813.56
